Код;Наименование;Упак.;Цена, руб;Заказ
;РОЯЛ КАНИН  (Корм для животных);;;
;Felin Healfh Nutrition;;;
450988;Макси Эдалт (соус) 10Х0,140 кг;10;68;
471260;Макси Эйджинг 8+ (соус) 10Х0,140 кг;10;68;
416076;Матюр 8+ Мусс 0,195 кг;12;88;
471258;Медиум Паппи (соус) 10Х0,140 кг;10;68;
471259;Медиум Эдалт (соус) 10Х0,140 кг;10;68;
471261;Медиум Эйджинг 10+ (соус) 10Х0,140 кг;10;68;
450987;Мини Паппи (соус) 12Х0,085 кг;12;52;
471263;Мини Эдалт (соус)  12Х0,085 кг;12;52;
471262;Мини Эйджинг 12+ (соус) 12Х0,085 кг;12;52;
443738;Пудель паштет 85 гр;1;62;
471684;Стартер (паштет) 12x195г;12;90;
474426;Стерилайзд канин эдалт (паштет) 12*0,085 кг;12;68;
422640;Такса паштет 85г;12;62;
474635;Уринари Кэа канин эдалт (паштет) 12*0,085 кг;12;68;
445047;Чихуахуа паштет 85 гр;12;62;
416073;Эдалт Бьюти Мусс 0,195 кг;12;88;
416074;Эдалт Лайт Мусс 0,195 кг;12;88;
474428;Эксиджент Кэа канин эдалт (паштет) 12*0,085 кг;12;68;
416075;Юниор Мусс  0,195 кг;12;88;
;Veterinary diet;;;
;Neutered Cat Dry;;;
440372;Ньютрид Сатаети Бэлэнс 0,4 кг;10;350;
442391;Ньютрид Сатаети Бэлэнс 1,5 кг;6;1119;
387133;Ньютрид Янг Мэйл   0,4 кг;12;335;
387134;Ньютрид Янг Мэйл  1,5 кг;6;1074;
387135;Ньютрид Янг Мэйл  3,5 кг;4;2403;
387136;Ньютрид Янг Мэйл 10 кг;1;6509;
387140;Ньютрид Янг Фимэйл   0,4 кг;12;335;
387139;Ньютрид Янг Фимэйл  1,5 кг;6;1074;
441005;Ньютрид Янг Фимэйл  10 кг;1;6509;
387138;Ньютрид Янг Фимэйл  3,5 кг;4;2403;
414306;Сеньор Консалт Стэйдж 1 0,4 кг;10;342;
415716;Сеньор Консалт Стэйдж 1 1,5 кг;6;1095;
468162;Сеньор Консалт Стэйдж 1 10 кг;6;6290;
414308;Сеньор Консалт Стэйдж 2 0,4 кг;10;349;
427355;Сеньор Консалт Стэйдж 2 1,5 кг;6;1115;
476715;Скин Энд Коат (фелин) 0,4 кг;12;370;
476716;Скин Энд Коат (фелин) 1,5 кг;6;1213;
476717;Скин Энд Коат (фелин) 3,5 кг;4;2498;
;Vet Diet Can-Dog;;;
419507;Гастро Интестинал Канин 0,2 кг;12;127;
387094;Гастро Интестинал Канин 0,4 кг;12;223;
419506;Гастро Интестинал Лоу Фет Канин 0,2;12;127;
387095;Гастро Интестинал Лоу Фет Канин 0,41 кг;12;223;
419505;Гепатик Канин 0,2 кг;12;127;
387096;Гепатик Канин 0,42 кг;12;223;
419508;Гипоаллердженик канин   0,2 кг;12;127;
410689;Гипоаллердженик канин   0,4 кг;12;223;
387092;Диабетик Канин 0,41 кг;12;223;
401614;Кардиак  0,41 кг;12;223;
387101;Рекавери Фелин/ Канин 0,195 кг;12;118;
419509;Ренал Канин 0,2 кг;12;127;
387097;Ренал Канин 0,41 кг;12;223;
