Группы товара;Артикул;Наименование товара;;;Ед. измер.;Цена для корпоративных клиентов;Штук в упаковке;Вес;Штрих-код;;
;70007191;Monge Cat Monoprotein мясные хлопья для кошек из индейки с морковью 80г;;;шт.;95,00;24;0,097;8009470007191;;
;70007177;Monge Cat Monoprotein мясные хлопья для кошек из кролика 80г;;;шт.;95,00;24;0,097;8009470007177;;
;70007160;Monge Cat Monoprotein мясные хлопья для кошек из курицы 80г;;;шт.;95,00;24;0,097;8009470007160;;
;70007184;Monge Cat Monoprotein мясные хлопья для кошек из курицы с горошком 80г;;;шт.;95,00;24;0,097;8009470007184;;
;70013826;Monge Cat Monoprotein мясные хлопья для кошек из мяса буйвола 80г;;;шт.;95,00;24;0,097;8009470013826;;
;70013819;Monge Cat Monoprotein мясные хлопья для кошек из мяса говядины 80г;;;шт.;95,00;24;0,097;8009470013819;;
;70007214;Monge Cat Natural консервы для кошек атлантический тунец 80г;;;шт.;122,00;24;0,097;8009470007214;;
;70007269;Monge Cat Natural консервы для кошек морепродукты с курицей 80г;;;шт.;122,00;24;0,097;8009470007269;;
;70007221;Monge Cat Natural консервы для кошек тихоокеанский тунец с курицей 80г;;;шт.;122,00;24;0,097;8009470007221;;
;70007245;Monge Cat Natural консервы для кошек тихоокеанский тунец с лососем 80г;;;шт.;122,00;24;0,097;8009470007245;;
;70007276;Monge Cat Natural консервы для кошек тунец с курицей и говядиной 80г;;;шт.;122,00;24;0,097;8009470007276;;
;70007252;Monge Cat Natural консервы для кошек тунец с курицей и креветками 80г;;;шт.;122,00;24;0,097;8009470007252;;
            СУХОЙ КОРМ;;;;;;;;;;;
            BWILD;;;;;;;;;;;
;70012010;Monge Cat BWild LOW GRAIN Anchovies корм для взрослых кошек с анчоусами 1,5 кг;;;шт.;790,00;6;1,533;8009470012010 ;;
;70012003;Monge Cat BWild LOW GRAIN Hare корм для взрослых кошек с мясом зайца 1,5 кг;;;шт.;725,00;6;1,533;8009470012003 ;;
            MONOPROTEIN;;;;;;;;;;;
;70005500;Monge Cat  Monoprotein корм для котят с форелью 1,5кг;;;шт.;996,00;6;1,583;8009470005500;;
;70011945;Monge Cat Monoprotein Adult Rabbit корм для взрослых кошек с кроликом 1,5 кг;;;шт.;996,00;6;1,583;8009470011945;;
;70011952;Monge Cat Monoprotein Sterilised Duck корм для стерилизованных кошек с уткой 1,5 кг;;;шт.;996,00;6;1,583;8009470011952;;
;70005463;Monge Cat Monoprotein Sterilised Trout корм для стерилизованных кошек с форелью  400г;;;шт.;307,00;10;0,42;8009470005463;;
;70005494;Monge Cat Monoprotein Sterilised Trout корм для стерилизованных кошек с форелью 1,5 кг;;;шт.;996,00;6;1,583;8009470005494;;
;70005470;Monge Cat Monoprotein корм для котят с форелью 400г;;;шт.;307,00;10;0,42;8009470005470;;
;MNGKA201;Monge Cat Sterilised корм для стерилизованных кошек 1,5 кг + Мышка-кормушка;;;шт.;898,00;1;;4610011704390;;
;MNGKA202;Monge Cat корм для котят 1,5 кг + Мышка-кормушка;;;шт.;945,00;1;;4610011704406;;
;70005234;Monge Cat Hairball корм для кошек для выведения шерсти 1,5 кг;;;шт.;898,00;6;1,583;8009470005234;;
;70005227;Monge Cat Hairball корм для кошек для выведения шерсти 400г;;;шт.;279,00;10;0,42;8009470005227;;
;70005111;Monge Cat Indoor корм для домашних кошек 1,5 кг;;;шт.;870,00;6;1,583;8009470005111;;
;70005104;Monge Cat Indoor корм для домашних кошек 400г;;;шт.;270,00;10;0,42;8009470005104;;
;70011938;Monge Cat Sterilised корм для стерилизованных кошек 1,5 кг;;;шт.;898,00;6;1,583;8009470011938;;
;70011921;Monge Cat Sterilised корм для стерилизованных кошек 400г;;;шт.;279,00;10;0,42;8009470011921;;
;70011914;Monge Cat Urinary корм для кошек профилактика МКБ 1,5 кг;;;шт.;898,00;6;1,583;8009470011914;;
;70011907;Monge Cat Urinary корм для кошек профилактика МКБ 400г;;;шт.;279,00;10;0,42;8009470011907;;
;70004992;Monge Cat корм для взрослых кошек 1,5 кг;;;шт.;870,00;6;1,583;8009470004992;;
;70004985;Monge Cat корм для взрослых кошек 400г;;;шт.;270,00;10;0,42;8009470004985;;
;70005487;Monge Cat корм для взрослых кошек с лососем  400г;;;шт.;279,00;10;0,42;8009470005487;;
;70005517;Monge Cat корм для взрослых кошек с лососем 1,5 кг;;;шт.;898,00;6;1,583;8009470005517;;
;70004879;Monge Cat корм для котят 1,5 кг;;;шт.;945,00;6;1,583;8009470004879 ;;
;70004862;Monge Cat корм для котят 400г;;;шт.;295,00;10;0,42;8009470004862;;
;70005562;Monge Cat корм для пожилых кошек 400г;;;шт.;295,00;10;0,42;8009470005562;;
         СОБАКИ;;;;;;;;;;;
            ВЛАЖНЫЙ КОРМ;;;;;;;;;;;
            MONGE MONOPROTEIN;;;;;;;;;;;
;70014397;Monge Dog Monoprotein Fruits консервы для собак паштет из индейки с цитрусовыми 150г;;;шт.;140,00;24;0,171;8009470014397 ;;
;70014335;Monge Dog Monoprotein Fruits консервы для собак паштет из индейки с цитрусовыми 400г;;;шт.;265,00;24;0,5;8009470014335;;
;70014373;Monge Dog Monoprotein Fruits консервы для собак паштет из кролика с яблоком 150г;;;шт.;140,00;24;0,171;8009470014373 ;;
;70014328;Monge Dog Monoprotein Fruits консервы для собак паштет из кролика с яблоком 400г;;;шт.;265,00;24;0,5;8009470014328;;
;70014342;Monge Dog Monoprotein Fruits консервы для собак паштет из утки с малиной 150г;;;шт.;140,00;24;0,171;8009470014342 ;;
;70014359;Monge Dog Monoprotein Fruits консервы для собак паштет из ягненка с черникой 150г;;;шт.;140,00;24;0,171;8009470014359 ;;
;70014380;Monge Dog Monoprotein Fruits консервы для щенков паштет из курицы 150г;;;шт.;140,00;24;0,171;8009470014380 ;;
;7001440;Monge Dog Monoprotein Solo консервы для собак паштет из говядины 150г;;;шт.;130,00;24;0,171;8009470014403 ;;
;70014144;Monge Dog Monoprotein Solo консервы для собак паштет из индейки 150г;;;шт.;130,00;24;0,171;8009470014144;;
;70014229;Monge Dog Monoprotein Solo консервы для собак паштет из индейки 400г;;;шт.;229,00;24;0,5;8009470014229;;
;70014205;Monge Dog Monoprotein Solo консервы для собак паштет из кролика 150г;;;шт.;130,00;24;0,171;8009470014205;;
;70014137;Monge Dog Monoprotein Solo консервы для собак паштет из курицы 150г;;;шт.;130,00;24;0,171;8009470014137;;
;70014212;Monge Dog Monoprotein Solo консервы для собак паштет из курицы 400г;;;шт.;229,00;24;0,5;8009470014212;;
;70014175;Monge Dog Monoprotein Solo консервы для собак паштет из оленины 150г;;;шт.;130,00;24;0,171;8009470014175;;
;7001441;Monge Dog Monoprotein Solo консервы для собак паштет из свинины 150г;;;шт.;130,00;24;0,171;8009470014410;;
;70014427;Monge Dog Monoprotein Solo консервы для собак паштет из свинины 400г;;;шт.;229,00;24;0,5;8009470014427 ;;
;70014168;Monge Dog Monoprotein Solo консервы для собак паштет из тунца 150г;;;шт.;130,00;24;0,171;8009470014168;;
;70014243;Monge Dog Monoprotein Solo консервы для собак паштет из тунца 400г;;;шт.;229,00;24;0,5;8009470014243;;
;70014182;Monge Dog Monoprotein Solo консервы для собак паштет из утки 150г;;;шт.;130,00;24;0,171;8009470014182;;
;70014434;Monge Dog Monoprotein Solo консервы для собак паштет из утки 400г;;;шт.;229,00;24;0,5;8009470014434 ;;
;70014151;Monge Dog Monoprotein Solo консервы для собак паштет из ягненка 150г;;;шт.;130,00;24;0,171;8009470014151;;
;70014236;Monge Dog Monoprotein Solo консервы для собак паштет из ягненка 400г;;;шт.;229,00;24;0,5;8009470014236;;
;70014489;Monge Dog Fresh Chunks in Loaf консервы для пожилых собак мясной рулет индейка с овощами 400г;;;шт.;133,00;24;0,5;8009470014489 ;Товар дня;
;70014472;Monge Dog Fresh Chunks in Loaf консервы для собак мясной рулет курица 400г;;;шт.;133,00;24;0,5;8009470014472 ;;
;70014465;Monge Dog Fresh Chunks in Loaf консервы для собак мясной рулет свинина 400г;;;шт.;133,00;24;0,5;8009470014465 ;;
;70014458;Monge Dog Fresh Chunks in Loaf консервы для собак мясной рулет телятина 400г;;;шт.;133,00;24;0,5;8009470014458 ;;
;70014441;Monge Dog Fresh Chunks in Loaf консервы для щенков мясной рулет телятина с овощами 400г;;;шт.;133,00;24;0,5;8009470014441 ;;
;70013079;Monge Dog Fresh консервы для собак говядина 100г;;;шт.;64,00;32;0,128;8009470013079;;
;70013020;Monge Dog Fresh консервы для собак индейка 100г;;;шт.;64,00;32;0,128;8009470013024;;
;70013062;Monge Dog Fresh консервы для собак курица 100г;;;шт.;64,00;32;0,128;8009470013062;;
;70013086;Monge Dog Fresh консервы для собак лосось 100г;;;шт.;64,00;32;0,128;8009470013086 ;;
;70013017;Monge Dog Fresh консервы для собак тунец 100г;;;шт.;64,00;32;0,128;8009470013017;;
;70013048;Monge Dog Fresh консервы для собак утка 100г;;;шт.;64,00;32;0,128;8009470013048;;
;70013055;Monge Dog Fresh консервы для собак ягненок 100г;;;шт.;64,00;32;0,128;8009470013055;;
;70013208;Monge Dog Fruit консервы для собак индейка с черникой 100г;;;шт.;70,00;32;0,128;8009470013208;;
;70013215;Monge Dog Fruit консервы для собак курица с малиной 100г;;;шт.;70,00;32;0,128;8009470013215;;
;70013253;Monge Dog Fruit консервы для собак свинина с ананасом 100г;;;шт.;70,00;32;0,128;8009470013253 ;;
;70013239;Monge Dog Fruit консервы для собак утка с апельсином 100г;;;шт.;70,00;32;0,128;8009470013239;;
;70013222;Monge Dog Fruit консервы для собак ягненок с яблоком 100г;;;шт.;70,00;32;0,128;8009470013222;;
;70013154;Monge Dog Grill Pouch паучи для собак говядина 100г;;;шт.;56,00;24;0,12;8009470013154;;
;70013116;Monge Dog Grill Pouch паучи для собак курица с индейкой 100г;;;шт.;56,00;24;0,12;8009470013116;;
;70013123;Monge Dog Grill Pouch паучи для собак лосось 100г;;;шт.;56,00;24;0,12;8009470013123;;
;70013147;Monge Dog Grill Pouch паучи для собак свинина 100г;;;шт.;56,00;24;0,12;8009470013147;;
;70013161;Monge Dog Grill Pouch паучи для собак ягненок с овощами 100г;;;шт.;56,00;24;0,12;8009470013161;;
            СУХОЙ КОРМ;;;;;;;;;;;
            BWILD;;;;;;;;;;;
;70011815;Monge Bwild Dog Boar корм для взрослых собак всех пород с мясом дикого кабана 7,5 кг;;;шт.;3 457,00;1;7,58;8009470011815 ;;
;70011822;Monge Bwild Dog Ostrich корм для взрослых собак всех пород с мясом страуса 2 кг;;;шт.;1 100,00;6;2,032;8009470011822 ;;
;70011839;Monge Bwild Dog Ostrich корм для взрослых собак всех пород с мясом страуса 7,5 кг;;;шт.;3 457,00;1;7,58;8009470011839 ;;
;70004756;Monge Dog BWild GRAIN FREE Mini беззерновой корм для собак мелких пород утка с картофелем 2,5 кг;;;шт.;1 440,00;4;2,8;8009470004756 ;;
;70004749;Monge Dog BWild GRAIN FREE беззерновой корм для собак всех пород утка с картофелем 12 кг;;;шт.;5 235,00;1;12,3;8009470004749 ;;
;70004732;Monge Dog BWild GRAIN FREE беззерновой корм для собак всех пород утка с картофелем 2,5 кг;;;шт.;1 440,00;4;2,8;8009470004732 ;;
;70004787;Monge Dog BWild GRAIN FREE беззерновой корм для щенков утка с картофелем 2,5 кг;;;шт.;1 440,00;4;2,8;8009470004787 ;;
            MONOPROTEIN;;;;;;;;;;;
;70011341;Monge Dog Monoprotein All Breeds Beef and Rice корм для собак всех пород говядина с рисом 12 кг;;;шт.;4 705,00;1;12,3;8009470011341;;
;70004947;Monge Dog Monoprotein All Breeds Beef and Rice корм для собак всех пород говядина с рисом 2,5 кг;;;шт.;1 241,00;4;2,8;8009470004947;;
            SPECIALITY LINE;;;;;;;;;;;
;70011242;Monge Dog Speciality Active корм для активных собак с курицей 12 кг;;;шт.;4 625,00;1;12,3;8009470011242 ;;
;70011457;Monge Dog Speciality Extra Small корм для взрослых собак миниатюрных пород лосось с рисом  800г;;;шт.;532,00;10;0,85;8009470011457 ;;
;70011464;Monge Dog Speciality Extra Small корм для взрослых собак миниатюрных пород лосось с рисом 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011464 ;;
;70011471;Monge Dog Speciality Extra Small корм для взрослых собак миниатюрных пород ягненок с рисом и картофелем  800г;;;шт.;532,00;10;0,85;8009470011471 ;;
;70011488;Monge Dog Speciality Extra Small корм для взрослых собак миниатюрных пород ягненок с рисом и картофелем 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011488 ;;
;70011174;Monge Dog Speciality Hypoallergenic корм для собак гипоаллергенный лосось с тунцом 12 кг;;;шт.;4 780,00;1;12,3;8009470011174 ;;
;70011167;Monge Dog Speciality Hypoallergenic корм для собак гипоаллергенный лосось с тунцом 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011167 ;;
;70011235;Monge Dog Speciality Light корм для собак всех пород низкокалорийный лосось с рисом 12 кг;;;шт.;4 780,00;1;12,3;8009470011235 ;;
;70011228;Monge Dog Speciality Light корм для собак всех пород низкокалорийный лосось с рисом 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011228 ;;
;70011570;Monge Dog Speciality Mini корм для взрослых собак мелких пород лосось с рисом 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011570 ;;
;MNGDA201;Monge Dog Speciality Mini корм для взрослых собак мелких пород лосось с рисом 2,5 кг + Полотенце в форме косточки;;;шт.;1 241,00;1;;4610011704420;;
;70011587;Monge Dog Speciality Mini корм для взрослых собак мелких пород лосось с рисом 7,5 кг;;;шт.;2 867,00;1;7,8;8009470011587 ;;
;70011563;Monge Dog Speciality Mini корм для взрослых собак мелких пород лосось с рисом 800г;;;шт.;532,00;10;0,85;8009470011563 ;;
;70011549;Monge Dog Speciality Mini корм для взрослых собак мелких пород ягненок с рисом и картофелем 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011549 ;;
;70011556;Monge Dog Speciality Mini корм для взрослых собак мелких пород ягненок с рисом и картофелем 7,5 кг;;;шт.;2 867,00;1;7,8;8009470011556 ;;
;70011532;Monge Dog Speciality Mini корм для взрослых собак мелких пород ягненок с рисом и картофелем 800г;;;шт.;532,00;10;0,85;8009470011532 ;;
;70011525;Monge Dog Speciality Mini корм для щенков мелких пород с ягненком и рисом 2,5 кг;;;шт.;1 299,00;4;2,8;8009470011525 ;;
;70011518;Monge Dog Speciality Mini корм для щенков мелких пород ягненок с рисом и картофелем 800г;;;шт.;532,00;10;0,85;8009470011518 ;;
;70011211;Monge Dog Speciality Puppy&Junior корм для щенков всех пород лосось с рисом 12 кг;;;шт.;4 780,00;1;12,3;8009470011211 ;;
;70011204;Monge Dog Speciality Puppy&Junior корм для щенков всех пород лосось с рисом 2,5 кг;;;шт.;1 299,00;4;2,8;8009470011204 ;;
;70011266;Monge Dog Speciality Puppy&Junior корм для щенков всех пород лосось с рисом 800г;;;шт.;532,00;10;0,808;8009470011266 ;;
;70011198;Monge Dog Speciality Puppy&Junior корм для щенков всех пород с ягненком и рисом 12 кг;;;шт.;4 780,00;1;12,3;8009470011198 ;;
;70011259;Monge Dog Speciality Puppy&Junior корм для щенков всех пород ягненок с рисом 800г;;;шт.;532,00;10;0,85;8009470011259 ;;
;70011181;Monge Dog Speciality Puppy&Junior корм для щенков всех пород ягненок с рисом и картофелем  2,5 кг;;;шт.;1 299,00;4;2,8;8009470011181 ;;
;MNGDA202;Monge Dog Speciality Puppy&Junior корм для щенков всех пород ягненок с рисом и картофелем 2,5 кг+Полотенце в форме кости;;;шт.;1 299,00;1;;4610011704437;;
;70011150;Monge Dog Speciality корм для собак всех пород кролик с рисом и картофелем 12 кг;;;шт.;4 780,00;1;12,3;8009470011150 ;;
;70011143;Monge Dog Speciality корм для собак всех пород кролик с рисом и картофелем 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011143 ;;
;70011280;Monge Dog Speciality корм для собак всех пород курица с рисом и картофелем 12 кг;;;шт.;4 326,00;1;12,3;8009470011280 ;;
;70011273;Monge Dog Speciality корм для собак всех пород курица с рисом и картофелем 2,5 кг;;;шт.;1 150,00;4;2,8;8009470011273 ;;
;70011303;Monge Dog Speciality корм для собак всех пород лосось с рисом 12 кг;;;шт.;4 780,00;1;12,3;8009470011303 ;;
;70011297;Monge Dog Speciality корм для собак всех пород лосось с рисом 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011297 ;;
;70011112;Monge Dog Speciality корм для собак всех пород свинина с рисом и картофелем 12 кг;;;шт.;4 705,00;1;12,3;8009470011112 ;;
;70011105;Monge Dog Speciality корм для собак всех пород свинина с рисом и картофелем 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011105 ;;
;70011136;Monge Dog Speciality корм для собак всех пород утка с рисом и картофелем 12 кг;;;шт.;4 705,00;1;12,3;8009470011136 ;;
;70011129;Monge Dog Speciality корм для собак всех пород утка с рисом и картофелем 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011129 ;;
;70011327;Monge Dog Speciality корм для собак всех пород ягненок с рисом и картофелем 12 кг;;;шт.;4 780,00;1;12,3;8009470011327 ;;
;70011310;Monge Dog Speciality корм для собак всех пород ягненок с рисом и картофелем 2,5 кг;;;шт.;1 241,00;4;2,8;8009470011310 ;;
;70011419;Monge Dog Extra Small корм для взрослых собак миниатюрных пород с курицей  800г;;;шт.;450,00;10;0,808;8009470011419 ;;
;70011426;Monge Dog Extra Small корм для взрослых собак миниатюрных пород с курицей 3 кг;;;шт.;1 308,00;4;3,125;8009470011426 ;;
;70011402;Monge Dog Extra Small корм для щенков миниатюрных пород с курицей 800г;;;шт.;450,00;10;0,808;8009470011402 ;;
;70004411;Monge Dog Maxi корм для взрослых собак крупных пород 12 кг;;;шт.;3 890,00;1;12,3;8009470004411 ;;
;70004343;Monge Dog Maxi корм для взрослых собак крупных пород 3 кг;;;шт.;1 227,00;4;3,125;8009470004343;;
;70011709;Monge Dog Maxi корм для щенков крупных пород 12 кг;;;шт.;4 290,00;1;12,3;8009470011709 ;;
;70004350;Monge Dog Maxi корм для щенков крупных пород 3 кг;;;шт.;1 455,00;4;3,125;8009470004350;;
;70011693;Monge Dog Maxi корм для щенков крупных пород 800г;;;шт.;438,00;10;0,808;8009470011693 ;;
;70011600;Monge Dog Medium Starter корм для щенков средних пород 1,5 кг;;;шт.;675,00;6;1,8;8009470011600 ;;
;70004275;Monge Dog Medium корм для взрослых собак средних пород 12 кг;;;шт.;3 915,00;1;12,3;8009470004275;;
;70004244;Monge Dog Medium корм для взрослых собак средних пород 3 кг;;;шт.;1 227,00;4;3,125;8009470004244;;
;70011679;Monge Dog Medium корм для пожилых собак средних пород  3 кг;;;шт.;1 455,00;4;3,123;8009470011679 ;;
;70011686;Monge Dog Medium корм для пожилых собак средних пород 12 кг;;;шт.;4 326,00;1;12,3;8009470011686 ;;
;70011655;Monge Dog Medium корм для щенков средних  пород 800г;;;шт.;450,00;10;0,808;8009470011655 ;;
;70011662;Monge Dog Medium корм для щенков средних пород 12 кг;;;шт.;4 326,00;1;12;8009470011662 ;;
;70004220;Monge Dog Medium корм для щенков средних пород 3 кг;;;шт.;1 455,00;4;3,125;8009470004220;;
;70004008;Monge Dog Mini Starter корм для щенков мелких пород 1,5 кг;;;шт.;675,00;4;1,8;8009470004008;;
;70004114;Monge Dog Mini корм для взрослых собак мелких пород 3 кг;;;шт.;1 308,00;4;3,125;8009470004114;;
;70004053;Monge Dog Mini корм для взрослых собак мелких пород 7,5 кг;;;шт.;2 550,00;1;7,8;8009470004053;;
;70004091;Monge Dog Mini корм для взрослых собак мелких пород 800г;;;шт.;415,00;10;0,85;8009470004091;;
;70011631;Monge Dog Mini корм для пожилых собак мелких пород 3 кг;;;шт.;1 455,00;4;3,3;8009470011631 ;;
;70004107;Monge Dog Mini корм для щенков мелких  пород 800г;;;шт.;450,00;10;0,85;8009470004107;;
;70004015;Monge Dog Mini корм для щенков мелких пород 3 кг;;;шт.;1 455,00;4;3,3;8009470004015 ;;
;MONGE003A;Monge Готовое решение большой формат;;;шт.;75 440,00;1;;;;
;MONGE001A;Monge Готовое решение малый формат;;;шт.;27 022,00;1;;;;
;MONGE002A;Monge Готовое решение средний формат;;;шт.;52 709,00;1;;;;
      SIMBA;;;;;;;;;;;
         КОШКИ;;;;;;;;;;;
            ВЛАЖНЫЙ КОРМ;;;;;;;;;;;
;70009430;Simba Cat Mousse мусс для кошек лосось/креветки 85г;;;шт.;46,00;24;0,103;8009470009430;;
;70009461;Simba Cat Mousse мусс для кошек сердце/куриная печень 85г;;;шт.;46,00;24;0,103;8009470009461;;
;70009409;Simba Cat Mousse мусс для кошек телятина/почки 85г;;;шт.;46,00;24;0,103;8009470009409;;
;70009447;Simba Cat Mousse мусс для кошек цыпленок/индейка 85г;;;шт.;46,00;24;0,103;8009470009447;;
;70009355;Simba Cat Pouch паучи для кошек курица с печенью 100г;;;шт.;41,00;24;0,108;8009470009355;;
;70009379;Simba Cat Pouch паучи для кошек лосось с камбалой 100г;;;шт.;41,00;24;0,108;8009470009379;;
;70009348;Simba Cat Pouch паучи для кошек мясо с горохом 100г;;;шт.;41,00;24;0,108;8009470009348;;
;70009362;Simba Cat Pouch паучи для кошек форель с треской 100г;;;шт.;41,00;24;0,108;8009470009362;;
;70009744;Simba Cat консервы для кошек паштет кролик 400г;;;шт.;91,00;24;0,42;8009470009744 ;;
            СУХОЙ КОРМ;;;;;;;;;;;
;70009041;Simba Cat корм для кошек с говядиной 2 кг;;;шт.;456,00;6;2,133;8009470009041;;
;70016063;Simba Cat корм для кошек с курицей 2 кг;;;шт.;456,00;6;2,133;8009470016063;;
         СОБАКИ;;;;;;;;;;;
            ВЛАЖНЫЙ КОРМ;;;;;;;;;;;
;70009188;Simba Dog консервы для собак кусочки говядина с овощами 1230г;;;шт.;182,00;12;1,45;8009470009188;;
;70009157;Simba Dog консервы для собак кусочки дичи 1230г;;;шт.;182,00;12;1,45;8009470009157;;
;70009133;Simba Dog консервы для собак кусочки курицы с индейкой 1230г;;;шт.;182,00;12;1,45;8009470009133;;
;70009126;Simba Dog консервы для собак кусочки мяса 1230г;;;шт.;182,00;12;1,45;8009470009126;;
;70009140;Simba Dog консервы для собак кусочки ягненка 1230г;;;шт.;182,00;12;1,45;8009470009140;;
            СУХОЙ КОРМ;;;;;;;;;;;
;70009843;Simba Dog корм для собак с говядиной 10 кг;;;шт.;1 315,00;1;10,2;8009470009843;;
;70009850;Simba Dog корм для собак с курицей 10 кг;;;шт.;1 315,00;1;10,2;8009470009850;;
      SPECIAL DOG;;;;;;;;;;;
         ВЛАЖНЫЙ КОРМ;;;;;;;;;;;
;70008594;Special Dog консервы для собак кусочки говядины с овощами 720г;;;шт.;124,00;12;;8009470008594;;
;70008587;Special Dog консервы для собак кусочки курицы 720г;;;шт.;124,00;12;;8009470008587;;
;70001335;Special Dog консервы для собак паштет курица с кроликом 400г;;;шт.;90,00;24;0,5;8009470001335;;
;70000123;Special Dog консервы для собак паштет рубец ягненка 400г;;;шт.;90,00;24;0,5;8009470000123;;
;70001342;Special Dog консервы для собак паштет ягненок с индейкой 400г;;;шт.;90,00;24;0,5;8009470001342;;
         СУХОЙ КОРМ;;;;;;;;;;;
;70007641;Special Dog корм для собак с особыми потребностями (с чувствительной кожей и пищеварением) тунец/рис 15 кг;;;шт.;2 529,00;1;15,05;8009470007641;;
;70007603;Special Dog корм для собак с особыми потребностями (с чувствительной кожей и пищеварением) тунец/рис 4 кг;;;шт.;752,00;4;4,1;8009470007603;;
;70007658;Special Dog корм для собак с особыми потребностями (с чувствительной кожей и пищеварением) ягненок/рис 15 кг;;;шт.;2 529,00;1;15,05;8009470007658;;
;70007610;Special Dog корм для собак с особыми потребностями (с чувствительной кожей и пищеварением) ягненок/рис 4 кг;;;шт.;752,00;4;4,1;8009470007610;;
;70007696;Special Dog корм для собак со свежей курицей 15 кг;;;шт.;2 361,00;1;15,05;8009470007696;;
;70007597;Special Dog корм для щенков курица/рис 15 кг;;;шт.;2 635,00;1;15,05;8009470007597;;
;70007672;Special Dog корм для щенков курица/рис 4 кг;;;шт.;793,00;4;4,1;8009470007672;;
      VETSOLUTION;;;;;;;;;;;
         КОШКИ;;;;;;;;;;;
            ВЛАЖНЫЙ КОРМ;;;;;;;;;;;
;70014601;Monge VetSolution Cat Dermatosis влажная диета для кошек Дерматозис 100 г;;;шт.;47,00;24;0,1;8009470014601 ;;
;70014618;Monge VetSolution Cat Gastrointestinal влажная диета для кошек Гастроинтестинал 100 г;;;шт.;47,00;24;0,1;8009470014618 ;;
;70014656;Monge VetSolution Cat Recovery влажная диета для кошек Рекавери 100 г;;;шт.;47,00;24;0,1;8009470014656 ;;
;70014649;Monge VetSolution Cat Renal and Oxalate влажная диета для кошек Ренал и Оксалат 100 г;;;шт.;47,00;24;0,1;8009470014649 ;;
;70014625;Monge VetSolution Cat Urinary Struvite влажная диета для кошек Уринари Струвит 100 г;;;шт.;47,00;24;0,1;8009470014625 ;;
            СУХОЙ КОРМ;;;;;;;;;;;
;70081542;Monge VetSolution Cat Dermatosis диета для кошек Дерматозис  400 г;;;шт.;320,00;10;0,418;8009470081542;;
;70081559;Monge VetSolution Cat Dermatosis диета для кошек Дерматозис 1,5 кг;;;шт.;967,00;6;1,533;8009470081559;;
;70081740;Monge VetSolution Cat Diabetic диета для кошек Диабетик  400 г;;;шт.;320,00;10;0,418;8009470081740;;
;70081757;Monge VetSolution Cat Diabetic диета для кошек Диабетик 1,5 кг;;;шт.;967,00;6;1,533;8009470081757;;
;70081504;Monge VetSolution Cat Gastrointestinal диета для кошек Интестинал  400 г;;;шт.;320,00;10;0,418;8009470081504;;
;70081511;Monge VetSolution Cat Gastrointestinal диета для кошек Интестинал 1,5 кг;;;шт.;967,00;6;1,533;8009470081511;;
;70081672;Monge VetSolution Cat Hepatic диета для кошек Гепатик  400 г;;;шт.;320,00;10;0,418;8009470081672;;
;70081689;Monge VetSolution Cat Hepatic диета для кошек Гепатик 1,5 кг;;;шт.;967,00;6;1,533;8009470081689;;
;70081702;Monge VetSolution Cat Obesity диета для кошек Обесити  400 г;;;шт.;320,00;10;0,418;8009470081702;;
;70081719;Monge VetSolution Cat Obesity диета для кошек Обесити 1,5 кг;;;шт.;967,00;6;1,533;8009470081719;;
;70081658;Monge VetSolution Cat Renal диета для кошек Ренал 1,5 кг;;;шт.;967,00;6;1,533;8009470081658;;
;70081641;Monge VetSolution Cat Renal диета для кошек Ренал 400 г;;;шт.;320,00;10;0,418;8009470081641;;
;70081603;Monge VetSolution Cat Urinary Oxalate диета для кошек Уринари Оксалат  400 г;;;шт.;320,00;10;0,418;8009470081603;;
;70081610;Monge VetSolution Cat Urinary Oxalate диета для кошек Уринари Оксалат 1,5 кг;;;шт.;967,00;6;1,533;8009470081610;;
;70081580;Monge VetSolution Cat Urinary Struvite диета для кошек Уринари Струвит 1,5 кг;;;шт.;967,00;6;1,533;8009470081580;;
;70081573;Monge VetSolution Cat Urinary Struvite диета для кошек Уринари Струвит 400 г;;;шт.;320,00;10;0,418;8009470081573;;
         СОБАКИ;;;;;;;;;;;
            ВЛАЖНЫЙ КОРМ;;;;;;;;;;;
;70014502;Monge VetSolution Dog Dermatosis влажная диета для собак Дерматозис 150 г;;;шт.;58,00;24;0,171;8009470014502 ;;
;70014519;Monge VetSolution Dog Gastrointestinal влажная диета для собак Гастроинтестинал 150 г;;;шт.;58,00;24;0,171;8009470014519 ;;
;70014533;Monge VetSolution Dog Recovery влажная диета для собак Рекавери 150 г;;;шт.;58,00;24;0,171;8009470014533 ;;
;70014526;Monge VetSolution Dog Renal and Oxalate влажная диета для собак Ренал и Оксалат 150 г;;;шт.;58,00;24;0,171;8009470014526 ;;
            СУХОЙ КОРМ;;;;;;;;;;;
