Группы товара;Артикул;Наименование товара;;;Ед. измер.;Цена для корпоративных клиентов;Штук в упаковке;Вес;Штрих-код;;
;5969996;8in1 уничтожитель пятен, запахов и осадка от мочи собак NM Urine Destroyer 945 мл;;;шт.;550,31;12;1,111;018065969996  ;;
      ВИТАМИНЫ;;;;;;;;;;;
         СРЕДСТВА ДЛЯ КОЖИ И ШЕРСТИ;;;;;;;;;;;
;109495;8in1 Excel Пивные дрожжи для кошек и собак 140 таб.;;;шт.;237,34;36;0,072;4048422109495;;
;115731;8in1 Excel Пивные дрожжи для кошек и собак 1430 таб.;;;шт.;1 675,93;12;0,701;4048422115731;;
;108603;8in1 Excel Пивные дрожжи для кошек и собак 260 таб.;;;шт.;384,54;24;0,126;4048422108603;;
;115717;8in1 Excel Пивные дрожжи для кошек и собак 780 таб.;;;шт.;1 004,74;24;0,386;4048422115717;;
;109525;8in1 Excel Пивные дрожжи для собак крупных пород 80 таб.;;;шт.;405,69;24;0,201;4048422109525;;
         СРЕДСТВА ДЛЯ ЛЕЧЕНИЯ ОПОРНО-ДВИГАТЕЛЬНОГО АППАРАТА;;;;;;;;;;;
;121596;8in1 Excel Глюкозамин 110 таб.;;;шт.;1 171,25;12;0,406;4048422121596 ;;
;121565;8in1 Excel Глюкозамин 55 таб.;;;шт.;698,52;12;0,19;4048422121565 ;;
;124290;8in1 Excel Глюкозамин c MCM 55 таб.;;;шт.;779,39;12;0,19;4048422124290 ;;
         СРЕДСТВА, ВЛИЯЮЩИЕ НА ОБМЕН ВЕЩЕСТВ;;;;;;;;;;;
;124245;8in1 Excel Deter средство от поедания фекалий 100 таб;;;шт.;264,25;72;0,06;4048422124245 ;;
;109402;8in1 Excel Кальций  155 таб.;;;шт.;326,29;36;0,086;4048422109402;;
;109433;8in1 Excel Кальций  470 таб.;;;шт.;896,91;24;0,261;4048422109433;;
;115540;8in1 Excel Кальций  880 таб.;;;шт.;1 501,63;24;0,496;4048422115540;;
;115564;8in1 Excel Кальций 1700 таб.;;;шт.;2 674,02;12;1,001;4048422115564;;
;108665;8in1 Excel Мультивитамины для взрослых собак 70 таб.;;;шт.;453,98;12;0,17;4048422108665;;
;109372;8in1 Excel Мультивитамины для взрослых собак мелких пород 70 таб.;;;шт.;450,15;48;0,105;4048422109372;;
;108696;8in1 Excel Мультивитамины для пожилых собак 70 таб.;;;шт.;453,98;12;0,17;4048422108696;;
;108634;8in1 Excel Мультивитамины для щенков 100 таб.;;;шт.;396,82;24;0,146;4048422108634;;
   ANDOVER;;;;;;;;;;;
      САМОФИКСИРУЮЩИЕСЯ БИНТЫ БЕЗ ЛАТЕКСА;;;;;;;;;;;
;6100CP-030;Andover PetFlex NL бандаж 2,5 см х 4,5 м цвета в миксе (в пакете 2 шт.);;;шт.;197,83;15;0,02;724004601246;;
;6200CP-036;Andover PetFlex NL бандаж 5 см х 4,5 м цвета в миксе;;;шт.;152,48;36;0,025;724004601260;;
;6300CP-024;Andover PetFlex NL бандаж 7,5 см х 4,5 м цвета в миксе;;;шт.;206,60;24;0,03;724004601253;;
      САМОФИКСИРУЮЩИЕСЯ БИНТЫ ЛАТЕКСНЫЕ;;;;;;;;;;;
         С РИСУНКОМ;;;;;;;;;;;
;2400WC-018;"Andover PetFlex бандаж 10 см х 4,5 м ""зеленый камуфляж""";;;шт.;196,51;1;0,04;724004609174;;
;2200PW-036;"Andover PetFlex бандаж 5 см х 4,5 м ""голубые лапы"" на белом";;;шт.;142,49;36;0,025;724004400474  ;;
;2200WC-036;"Andover PetFlex бандаж 5 см х 4,5 м ""зеленый камуфляж""";;;шт.;142,49;36;0,025;724004609150;;
;2200PC-036;"Andover PetFlex бандаж 5 см х 4,5 м ""лапы"" мультицвета";;;шт.;142,49;36;0,025;724004603226;;
;2200PP-036;"Andover PetFlex бандаж 5 см х 4,5 м ""рисунки"" мультицвета";;;шт.;142,49;36;0,025;724004602748 ;;
;2200SFP-036;"Andover PetFlex бандаж 5 см х 4,5 м ""сафари"" ассорти";;;шт.;142,49;36;0,025;724004613270 ;;
;2300PW-024;"Andover PetFlex бандаж 7,5 см х 4,5 м ""голубые лапы"" на белом";;;шт.;183,78;24;0,03;724004403314;;
;2300WC-024;"Andover PetFlex бандаж 7,5 см х 4,5 м ""зеленый камуфляж""";;;шт.;183,78;24;0,03;724004609167;;
;2300PC-024;"Andover PetFlex бандаж 7,5 см х 4,5 м ""лапы"" мультицвета";;;шт.;183,78;24;0,03;724004603219;;
;2300PP-024;"Andover PetFlex бандаж 7,5 см х 4,5 м ""рисунки"" мультицвета";;;шт.;183,78;24;0,03;724004602755;;
         ЦВЕТНЫЕ;;;;;;;;;;;
;2400CP-018;"Andover PetFlex бандаж 10 см х 4,5 м цвета ""микс""";;;шт.;183,67;18;0,04;724004403048;;
;2400RB-018;"Andover PetFlex бандаж 10 см х 4,5 м цвета ""радуга""";;;шт.;183,67;18;0,04;724004400535;;
;2100CP-030;"Andover PetFlex бандаж 2,5 см х 4,5 м цвета ""микс"" (в пакете 2 шт.)";;;шт.;163,58;15;0,03;724004403017;;
;2100RB-030;"Andover PetFlex бандаж 2,5 см х 4,5 м цвета ""радуга"" (в пакете 2 шт.)";;;шт.;163,58;15;0,02;724004403192;;
;2200CP-036;"Andover PetFlex бандаж 5 см х 4,5 м цвета ""микс""";;;шт.;128,23;36;0,025;724004403024;;
;2200RB-036;"Andover PetFlex бандаж 5 см х 4,5 м цвета ""радуга""";;;шт.;128,23;36;0,025;724004400511;;
;2300TE-024;"Andover PetFlex бандаж 7,5 см х 4,5 м цвет ""бирюзовый""";;;шт.;166,65;24;0,03;2000007078260;;
;2300NG-024;"Andover PetFlex бандаж 7,5 см х 4,5 м цвет ""зеленый неон""";;;шт.;166,65;24;0,03;724004400320;;
;2300GR-024;"Andover PetFlex бандаж 7,5 см х 4,5 м цвет ""зеленый""";;;шт.;166,65;24;0,03;724004400245 ;;
;2300RB-024;"Andover PetFlex бандаж 7,5 см х 4,5 м цвета ""радуга""";;;шт.;166,65;24;0,03;724004403208  ;;
      САМОФИКСИРУЮЩИЕСЯ БИНТЫ С ГОРЬКИМ ВКУСОМ;;;;;;;;;;;
;2200NC-036;Andover PetFlex бандаж  5 см х 4,5 м No Chew с горьким вкусом;;;шт.;145,36;36;0,025;724004607408;;
;2300NC-024;Andover PetFlex бандаж  7,5 см х 4,5 м No Chew с горьким вкусом;;;шт.;186,63;24;0,03;724004607361;;
;2400NC-018;Andover PetFlex бандаж 10 см х 4,5 м No Chew с горьким вкусом;;;шт.;199,37;18;0,04;724004607378;;
   AROMADOG;;;;;;;;;;;
      AROMADOG;;;;;;;;;;;
