;;Название категории в 1-с;База 1
;RU PUR DENTALIFE Single;;
12381680;12369083;PRO PLAN Cat д/стерилиз Кролик 4x3кг RU;2023,63
;12370370;PRO PLAN Cat Стерил орг/чув Лосось 4х3кг;2161,69
;12369930;PRPN STERILISED Cat Д/СтерК Инд 4x3кг;2023,63
;12370522;PRO PLAN Cat Стерил чув пищ Кур 4х3кг;2161,69
12381681;12369079;PRO PLAN Cat д/стерилиз Лосось 4x3кг RU;2023,63
12360978;12369871;PRO PLAN Cat д/чув пищев Индейка 4х3кг;2023,63
;12381691;PRO PLAN Cat д/чув пищ 7+ Индейка 4х3кг;2023,63
12381690, 12322751;12370580;PRO PLAN Cat д/чув пищев Ягненок 4x3кгRU;2023,63
;12369531;PRO PLAN JUNIOR Cat Д/КотятКурица4x3кг;1929,07
;12422148;PRO PLAN д/стерил котят Лосось 4x3кг RU;1929,07
;12369818;PRO PLAN Cat д/котят чув пищев инд 4x3кг;1929,07
12360896;12400651;PRPN STRLS Cat Rbt 4x3kgPR600gFree19RU;1618,90
;12400652;PRPN STRLS Cat Trky 4x3kgPR600gFree19RU;1618,90
;RU PUR ProPlan Dry Cat 200g;;0,00
;12396675;PRO PLAN Cat д/чув пищев Индейк 10x200г;153,72
;12396663;PRO PLAN Cat д/стерил Кролик 10x200г RU;153,72
;12396643;PRO PLAN Cat д/стерил Индейка 10x200г RU;153,72
;12396664;PRO PLAN Cat д/котят чув пищ.инд 10x200g;149,38
;12396625;PRO PLAN Cat д/котят Курица 10x200g RU;149,38
;RU PUR ProPlan Dry Cat 400g;;0,00
;12372559;PRO PLAN Cat д/взр Курица 8x400г RU;281,15
;12372590;PRO PLAN Cat Элегант д\шер.Лосось 8х400г;304,51
12372505;12444208;PRO PLAN Cat д/взр Лосось 8x400г XE;281,15
;12384807;PRO PLAN Cat д/стер утка&печень 8x400гRU;325,71
;12384806;PRO PLAN Cat д/стер треска&форель 8x400г;325,71
;12372567;PRO PLANCat Стерил орг/чув Лосось 8х400г;325,71
;12372469;PRO PLAN Cat Стерил чув пищ Кур 8х400г;325,71
;12372600;PRO PLAN Cat д/стерилиз Лосось 8x400г;304,51
;12371753;PRO PLAN Cat д/стерилиз Индейка 8x400гRU;304,51
12335903;12371754;PRO PLAN Cat д/стерилиз Кролик 8x400г RU;304,51
;12372564;PRO PLAN Cat Лайт низ.кал Индейка 8х400г;304,51
12322752;12372563;PRO PLAN д/кош ЧувП Ягненок 8x400г XG;304,51
12335899, 12372585, 12172031;12372568;PRO PLAN д/кош чув/пищ Индейка 8х400гXG;295,92
;12372503;PRO PLAN Cat д/взр 7+ Лосось 8x400г XE;304,51
12444372;12372468;PRO PLAN Cat д/чув пищ 7+ Индейка 8х400г;304,51
;12372504;PRO PLAN Cat д/стерил 7+ Индейка 8x400г;304,51
;12422152;PRO PLAN д/стерил котят Лосось 8x400гRU;295,92
12335902, 12400653;12372569;PRO PLAN д/котят Курица 8x400г XG;295,92
12293287, 12335898, 12348009;12372568;PRO PLAN Cat д/котят чув пищев инд 8x400;295,92
;12400653;PRPN ORIGINALKtnChkn8x800gPR400gFree19RU;295,92
;12400649;PRPN DTEJNR Cat Trky8x800gPR400gFree19RU;295,92
12395883;12402132;PRPN Cat д/стерил Инд 10(400г+2х85г)PRRU;304,51
;12402130;PRO PLAN DTE Индейка 10(400г+2х85r) PRRU;304,51
;12402119;PRPN DTE Д/котят Инд 10(400г+2х85г) PRRU;295,92
12395883;12395883;PRPN DTE Kitten Trky 8x400gPR100FreeRU19;215,47
12348294;12348294;PRPN д/кош/чув/пищ Инд8x400гPR100гFreeRU;219,61
12372585;12395852;PRPN DTE Cat Turkey 8x400gPR100gFreeRU19;292,80
;12328108;PRO PLAN д/котят чув пищев Инд10(400g+85г);276,25
;12274632;PRO PLAN чувст/пищ Инд10(400г+85г) PR;292,80
;12395855;PRPN STRLS Cat Smn 8x400gPR100FreeRU19;219,61
12348030;12395854;PRPN STRLS Cat Trky 8x400gPR100FreeRU19;219,61
12348031;12395853;PRPN STRLS Cat Rbt 8x400g PR100gFreeRU19;219,61
;RU PUR ProPlan Dry Cat 7.5 - 15kg;;0,00
;12419111;PRO PLAN Котята Стерилиз Лосось 10кг;5478,80
12391016;12391016;PRO PLAN Cat д/взр Лосось 10кг XE;5037,33
;12391018;PRO PLAN Cat д/взр Курица 10кг XE;5037,33
;12384815;PRO PLAN Cat д/стер утка&печень 10кгRU;5761,35
;12384814;PRO PLAN Cat д/стер треска&форель 10кг;5761,35
12391014;12369005;PRO PLAN Cat д/стерилиз Кролик 10кг;5271,55
12370351;12391138;PRO PLAN Cat Стерил орг/чув Лосось 10кг;5761,35
12370499;12391139;PRO PLAN Cat Стерил чув пищ Кур 10кг;5761,35
12369001, 12171891;12390976;PRO PLAN Cat д/стерилиз Индейка 10кг;5271,55
;12390974;PRO PLAN Cat д/стерилиз Лосось 10кг;5271,55
12369711;12391015;PRO PLAN д/стерилиз кош 7+ Индейка 10кг ;5271,55
