;;Название категории в 1-с;Цена
;Код;Наименование;
;;;
;RU PUR DENTALIFE Single;;
;5120624;PRO PLAN ADULT Д/ВзрКошек Кур&Рис 4x3 кг;1744,00
;12370370;PRO PLAN Cat Стерил орг/чув Лосось 4х3кг;2039,34
12381682;12229467;PRO PLAN DENTAL PLUS д/кош Кур 4х3кг XE;1945,80
;12381690;PRO PLAN д/кош ЧувПищ Ягненок 4x3кг N1;1945,80
;12322751;PRO PLAN д/кош ЧувПищ Ягненок 4x3кг RU;1945,80
;5114961;PRO PLAN DLCT Д/К ЧувстКожПищИндРис4х3кг;1945,80
12369531;12171004;PRO PLAN JUNIOR Cat Д/КотятКурица4x3кг;1872,88
12369818;12293285;PRO PLAN Cat д/котят чув пищев инд 4x3кг;1872,88
;12400651;PRPN STRLS Cat Rbt 4x3kgPR600gFree19RU;1556,64
;12369083;PRO PLAN Cat д/стерилиз Кролик 4x3кг RU;1945,80
;12370370;PRO PLAN Cat Стерил орг/чув Лосось 4х3кг;2039,34
12381680;12171005;PRPN STERILISED Cat Д/СтерК Крол 4x3кг;1945,80
;12400652;PRPN STRLS Cat Trky 4x3kgPR600gFree19RU;1556,64
12369930;12171006;PRPN STERILISED Cat Д/СтерК Инд 4x3кг;1945,80
12381681;12171007;PRPN STERILISED Cat Д/СтерК Лос 4x3кг;1945,80
12171006;12360978;PRPN DELICATE Cat Turkey 4x3kg PR18RU;1556,64
;12360896;PRO PLAN стерилкош Крол 4х(2.4кг+600г)PR;1556,64
;12263290;PRO PLAN д/стер кош стар7+ инд 4x3кг XE;1945,80
;12370522;PRO PLAN Cat Стерил чув пищ Кур 4х3кг;2039,34
;RU PUR ProPlan Dry Cat 200g;;0,00
;12396675;PRO PLAN Cat д/чув пищев Индейк 10x200г;147,81
;12396663;PRO PLAN Cat д/стерил Кролик 10x200г RU;147,81
;12396643;PRO PLAN Cat д/стерил Индейка 10x200г RU;147,81
;12396664;PRO PLAN Cat д/котят чув пищ.инд 10x200g;145,04
;12396625;PRO PLAN Cat д/котят Курица 10x200g RU;145,04
;RU PUR ProPlan Dry Cat 400g;;0,00
;12384807;PRO PLAN Cat д/стер утка&печень 8x400гRU;304,40
;12384806;PRO PLAN Cat д/стер треска&форель 8x400г;304,40
;12372468;PRO PLAN Cat д/чув пищ 7+ Индейка 8х400г;292,80
;12395883;PRPN DTE Kitten Trky 8x400gPR100FreeRU19;215,47
12395883;12402132;PRPN Cat д/стерил Инд 10(400г+2х85г)PRRU;292,80
;12402130;PRO PLAN DTE Индейка 10(400г+2х85r) PRRU;292,80
;12402119;PRPN DTE Д/котят Инд 10(400г+2х85г) PRRU;287,30
;12171545;PRO PLAN ADULT 7+ Д/ВзКош Курица 8x400г ;292,80
;12172034;PRO PLAN ADULT Cat Д/ВзрК Курица8x400г;272,97
12381667;12172041;PRO PLAN ADULT Cat Д/ВзрК Лосось8x400г;272,97
;12348009;PRPN д/котят/ч/пищ Инд8x400гPR100гFreeRU;215,47
;12348294;PRPN д/кош/чув/пищ Инд8x400гPR100гFreeRU;219,61
;12348030;PRPN д/стерил/кош Инд 8x400гPR100гFreeRU;219,61
;12348031;PRPN д/стерил/кош Крол8x400гPR100гFreeRU;219,61
;12372559;PRO PLAN Cat д/взр Курица 8x400г RU;272,97
;12372567;PRO PLANCat Стерил орг/чув Лосось 8х400г;304,40
5115218;12171999;PRO PLAN HOUSECAT Д/ДомКош Курица8x400г;292,80
12335902, 12400653;12171425;PRO PLAN д/котят Курица 8x400г XG;287,30
;12372590;PRO PLAN Cat Элегант д\шер.Лосось 8х400г;292,80
;12372505;PRO PLAN Cat д/взр Лосось 8x400г XE;272,97
12335898;12293287;PRO PLAN Cat д/котят чув пищев инд 8x400;287,30
;5115225;PRO PLAN LIGHT Д/К НизкокалИнд&Рис8x400г;292,80
;12372563;PRO PLAN д/кош чув/пищ Ягненок 8х400г RU;292,80
;12322752;PRO PLAN д/кош ЧувП Ягненок 8x400г XG;292,80
12372585;12395852;PRPN DTE Cat Turkey 8x400gPR100gFreeRU19;292,80
12335899, 12372585;12172031;PRO PLAN д/кош чув/пищ Индейка 8х400гXG;292,80
;12277772;PRO PLAN д/стеркош стар 7+ инд 8x400г RU;292,80
;12372504;PRO PLAN Cat д/стерил 7+ Индейка 8x400г;292,80
12335904, 12381664;12171693;PRO PLAN STRLS Д/КастСтер Кош Лос 8x400г;292,80
;12372469;PRO PLAN Cat Стерил чув пищ Кур 8х400г;304,40
;12328108;PRO PLAN д/котят чув пищев Инд10(400g+85г);276,25
;12274632;PRO PLAN чувст/пищ Инд10(400г+85г) PR;292,80
12381668;12172082;PRPN DERMA PLUS Cat Д/К СЧувКожЛос8x400г;292,80
12335900;12171695;PRPN STERILISED Cat Д/СтерК Инд8x400г ;292,80
;12395855;PRPN STRLS Cat Smn 8x400gPR100FreeRU19;219,61
;12372600;PRO PLAN Cat д/стерилиз Лосось 8x400г;292,80
;12395854;PRPN STRLS Cat Trky 8x400gPR100FreeRU19;219,61
;12371753;PRO PLAN Cat д/стерилиз Индейка 8x400гRU;292,80
12335903;12171546;PRPN STERILISED Cat Д/СтерК Кролик8x400г;292,80
;12395853;PRPN STRLS Cat Rbt 8x400g PR100gFreeRU19;219,61
;12371754;PRO PLAN Cat д/стерилиз Кролик 8x400г RU;292,80
;12229450;PRO PLAN DENTAL PLUS д/кош Кур 8x400гр XE;292,80
;12372564;PRO PLAN Cat Лайт низ.кал Индейка 8х400г;292,80
;12372503;PRO PLAN Cat д/взр 7+ Лосось 8x400г XE;292,80
;RU PUR ProPlan Dry Cat 7.5 - 15kg;;0,00
;12384815;PRO PLAN Cat д/стер утка&печень 10кгRU;5460,99
;12384814;PRO PLAN Cat д/стер треска&форель 10кг;5460,99
12391019, 12391832;12369849;PRO PLAN Cat д/чув пищев Индейка 10кг;5219,36
;12171887;PRO PLAN ADULT Д/ВзКош Курица Рис 10кг;4752,20
;12369479;PRO PLAN Cat д/котят Куриц 10кг XE;5371,37
12391014;12369005;PRO PLAN Cat д/стерилиз Кролик 10кг;5219,36
;12172132;PRO PLAN ADULT Д/ВзКош Лосось Рис 10кг;4752,20
;12171889;PRO PLAN DELICATE Д/К ЧувПищ ИндРис 10кг;5219,36
;12236483;PRO PLAN DENTAL PLUS д/кош Куриц 10кг XE;5219,36
;12370351;PRO PLAN Cat Стерил орг/чув Лосось 10кг;5460,99
12391139;12370499;PRO PLAN Cat Стерил чув пищ Кур 10кг;5460,99
12391016;12369718;PRO PLAN Cat д/взр Лосось 10кг XE;4752,20
;12333655;PRO PLAN д/стерил/кош/Индей 12кгPR+2кгXE;5219,36
;12243858;PRO PLAN DermaPlus ДермаПлюсКошЛос 10кг;5219,36
12372508, 12391030;12322753;PRO PLAN д/кош ЧувПищ Ягненок 10кгRU;5219,36
;12337838;PRO PLAN д/стерил/кош Лосос 12кгPR+2кгXE;5219,36
;12171886;PRO PLAN HOUSECAT Д/Взр Домашн Кош 10кг;5219,36
12391017;12171446;PRO PLAN JUNIOR Д/Котят с Курицей 10кг;5371,37
12391816, 12395536;12293284;PRO PLAN Cat д/котят чув пищев инд 10кг;5371,37
12369001, 12171891, 12353661;12390976;PRO PLAN Cat д/стерилиз Индейка 10кг;5219,36
12391833;12171888;PRO PLAN STERILISED Д/СтерКасК Крол 10кг;5219,36
;12171890;PRO PLAN STERILISED Д/СтерКасК Лос 10кг;5219,36
12391031;12371196;PRO PLAN Cat Элегант д\шер. Лосось 10кг;5219,36
12391834, 12390974;12368985;PRO PLAN Cat д/стерилиз Лосось 10кг;5219,36
12391018;12369713;PRO PLAN Cat д/взр Курица 10кг XE;4752,20
12369711;12263189;PRO PLAN д/стерилиз кош 7+ Индейка 10кг ;5219,36
;12338053;PRO PLAN д/стерил/кош Кролик 10+2кг XE;5219,36
;12337838;PRO PLAN д/стерил/кош Лосось 12кгPR+2кгXE;5219,36
;12333655;PRO PLAN д/стерил/кош/Индей 12кгPR+2кгXE;5219,36
;RU PUR ProPlan Dry Cat 7kg;;0,00
;12392559;PRO PLAN Cat д/котят Куриц 7кг RU;3871,20
;12392645;PRO PLAN Cat д/котят чув пищев Инд 7кгRU;3871,20
12392650;12401968;PRO PLAN Cat д/чув пищев Индейка 7кг RU;3761,63
;12392652;PRO PLAN Cat д/взр Курица 7кг RU;3361,68
;12392651;PRO PLAN Cat д/чув пищев Ягненок 7кг RU;3761,63
;12392617;PRO PLAN Cat д/стерилиз Индейка 7кг RU;3871,20
;12392618;PRO PLAN Cat д/стерилиз Кролик 7кг RU;3761,63
;12392619;PRO PLAN Cat д/стерилиз Лосось 7кг RU;3761,63
;PRO PLAN VETERINARY DIETS;;0,00
;RU PUR PVD Dry Cat 1.5kg;;0,00
;12278417;PPVD FELINE DH 4x1kg RU;877,05
12382617;12274974;PPVD д/кош HP при забол.печени 4x1.5кг m;1420,96
12381563;12274497;PPVD FELINE DM 4x1.5kg RU;1330,41
12382848;12274530;PPVD FELINE EN 4x1.5kg RU;1369,29
12382618;12274531;PPVD FELINE HA 4x1.3kg N1 RU;1351,95
12382830;12274444;PPVD FELINE NF 4x1.5kg RU;1420,96
12382837;12274499;PPVD FELINE OM 4x1.5kg RU;1420,96
12382843;12274496;PPVD FELINE UR Chicken 4x1.5kg RU;1156,89
12382615;12274498;PPVD FELINE UR Ocean Fish 4x1.5kg RU;1156,89
;RU PUR PVD Dry Cat 325-400g;;0,00
12382818;12274106;PPVD FELINE NF 6x350g RU;387,11
12381567;12274256;PPVD FELINE EN 6x400g RU;405,56
12382834;12274155;PPVD FELINE OM 6x350g RU;387,11
;12274134;PPVD FELINE HA 6x325g RU;413,28
12382840;12274109;PPVD FELINE UR Chicken 6x350g RU;352,63
12382846;12274133;PPVD FELINE UR Ocean Fish 6x350g RU;352,63
;RU PUR PVD FORTIFLORA 30g;;0,00
;12274698;PPVD д/кош кормДобавка 30x1г;1422,37
;12274760;PPVD д/соб кормДобавка 30x1г;1422,37
;RU PUR PVD Wet Cat 195g;;0,00
12381645;12275730;PPVD CANINE & FELINE CN Mse 195g (24) N1 RU;141,90
;12275696;PPVD FELINE DM Mousse 24x195g RU;141,90
12381646;12275863;PPVD FELINE EN Mousse 24x195g RU;141,90
12381647;12275867;PPVD FELINE NF Mousse 24x195g RU;141,90
;12274133;PPVD д/кош конс CN при выздоров. 24x195г;352,63
12381644;12275710;PPVD FELINE UR Mousse Turkey 24x195g RU;141,90
;RU PUR PVD Wet Cat Vet 85g;;0,00
;12381671;PPVD FELINE UR CiG Salmon 4(10x85g) RU;67,70
12381676;12331739;PPVD д/к пауч EN п/нар.пищ.Лос 4(10x85г);67,70
;12381672;PPVD FELINE DM CiG Beef 4(10x85g) RU;67,70
12381675;12331738;PPVD д/к пауч EN п/нар.пищ.Кур 4(10x85г);67,70
;12278222;PPVD д/к пауч DM при диабете.кур 10x85г;67,70
;12308816;PPVD д/к паучURп/заб.моч.сисЛос 10x85г;67,70
;12308818;PPVD д/к паучURп/заб.моч.сисКур 10x85г;67,70
;12308817;PPVD д/к пауч DM при диабетеГов 10x85г;67,70
12381674;12308819;PPVD д/к пауч OM при диабетеКур 10x85г;67,70
;12278375;PPVD д/к пауч NF при заб.поч.кур 10x85г;67,70
;12278452;PPVD д/к пауч NF при заб.поч.лос 10x85г;67,70
;12381673;PPVD FELINE UR CiG Chicken 85г (4*10) RU;67,70
;DOG CHOW;;0,00
;RU PUR Dog Chow 14kg;;0,00
;12233256;DOG CHOW д/щенков от 5 лет Ягнен14кгRU;2394,83
;12260304;DOG CHOW д/щенков до годаЯгненок14кгN1RU;2562,47
;12233252;DOG CHOW д/взр/соб от 5 лет Ягнен14кгRU;2169,26
